Date,Day,Events,Weather_High,Weather_Low,Weather_Condition,Event_Multiplier,Weather_Multiplier,Total_Revenue,Grant_Park_North,Grant_Park_South,Millennium,Lakeside
2025-08-06,Wednesday,Joshua Bell and Tchaikovsky Romeo & Juliet; Men I Trust; Summer Fireworks; Free Admission Evening,84.29,75.29,scattered clouds,1.30,0.970,35949,19053,6770,10725,5452
2025-08-07,Thursday,"Millennium Park Summer Music Series Ends:
Ten City
Caramelo Haze
DJ Emmaculate; Wait Wait… Don’t Tell Me!",89.24,70.92,broken clouds,1.20,0.970,121448,19795,7034,11142,5665
2025-08-08,Friday,Live On the Lake!; Stravinsky Firebird,91.63,73.81,broken clouds,1.30,0.970,95492,22028,7828,12399,6304
2025-08-09,Saturday,"Aerial Arts Society presents
The Northern Mid-West Regional Aerial Competition; Herb Alpert & The Tijuana Brass & Other Delights; Stravinsky Firebird; Chicago Fire FC vs. Los Angeles Football Club; Jeezy; Summer Fireworks; Millennium Park Summer Workouts",93.18,75.63,clear sky,1.30,0.970,102461,30048,10678,16914,8599
2025-08-10,Sunday,Preseason: Miami Dolphins vs. Chicago Bears,90.07,72.79,few clouds,1.30,0.970,76208,28610,10167,16105,8187
2025-08-11,Monday,Broadway In Chicago Summer Concert 2025,80.37,73.89,light rain,1.40,0.829,119162,17856,6345,10051,5110
2025-08-12,Tuesday,"Millennium Park Summer Film Series:
Wicked; MJ",80,66,partly cloudy,1.10,1.000,126643,16068,5710,9045,4598
2025-08-13,Wednesday,Saint-Saëns Organ Symphony; Goo Goo Dolls & Dashboard Confessional; Summer Fireworks; Free Admission Evening,83,68,partly cloudy,1.40,0.970,69940,20519,7291,11550,5872
2025-08-14,Thursday,No major events,86,70,partly cloudy,1.00,0.970,119193,16496,5862,9285,4721
2025-08-15,Friday,Live On the Lake!; Carmina Burana; The Fray,80,66,partly cloudy,1.10,1.000,84657,19216,6828,10816,5499
2025-08-16,Saturday,Millennium Park Outdoor Public Art Walking Tour; Live On the Lake!; Live On the Lake!; Dance for Life; Carmina Burana; Summer Fireworks; The Great American Lobster Fest; Chicago Air & Water Show; Millennium Park Summer Workouts,83,68,partly cloudy,1.30,0.970,58932,30048,10678,16914,8599
2025-08-17,Sunday,Live On the Lake!; Melissa Etheridge & Indigo Girls; Preseason: Buffalo Bills vs. Chicago Bears; Free Museum Admission Day,86,70,partly cloudy,1.30,0.970,178259,28610,10167,16105,8187
2025-08-18,Monday,No major events,80,66,partly cloudy,1.00,1.000,164486,15379,5465,8657,4401
2025-08-19,Tuesday,"Coheed and Cambria & Taking Back Sunday; Millennium Park Summer Film Series Ends:
Pride & Prejudice",83,68,partly cloudy,1.10,0.970,75882,15586,5538,8773,4460
2025-08-20,Wednesday,Rob Thomas & A Great Big World; Summer Fireworks; Free Admission Evening,86,70,partly cloudy,1.30,0.970,68280,19053,6770,10725,5452
2025-08-21,Thursday,Roosevelt: Move-In,80,66,partly cloudy,1.10,1.000,64273,18707,6647,10530,5353
2025-08-22,Friday,Live On the Lake!; Above & Beyond,83,68,partly cloudy,1.10,0.970,63918,18639,6623,10492,5334
2025-08-23,Saturday,"Chicago House Music Festival; Live On the Lake!; Unbound: Shattered Frames, Endless Visions; 44: The Obama Musical; Summer Fireworks; Millennium Park Summer Workouts; Chicago Triathlon",86,70,partly cloudy,1.30,0.970,55452,30048,10678,16914,8599
2025-08-24,Sunday,Live On the Lake!; Simple Plan,80,66,partly cloudy,1.10,1.000,189839,24958,8869,14048,7142
2025-08-25,Monday,Columbia College Move-In,83,68,partly cloudy,1.10,0.970,93081,16409,5831,9237,4696
2025-08-26,Tuesday,44: The Obama Musical,86,70,partly cloudy,1.20,0.970,62744,17003,6042,9571,4866
2025-08-27,Wednesday,Michael Learns to Rock; Neil Young; Summer Fireworks; Free Admission Evening,80,66,partly cloudy,1.30,1.000,66165,19642,6980,11057,5621
2025-08-28,Thursday,Chicago Jazz Festival; Oasis,83,68,partly cloudy,1.25,0.970,41069,20620,7327,11607,5901
2025-08-29,Friday,Live On the Lake!; My Chemical Romance,86,70,partly cloudy,1.10,0.970,134790,18639,6623,10492,5334
2025-08-30,Saturday,Live On the Lake!; The Lumineers; fromis_9; Summer Fireworks; Millennium Park Summer Workouts End; 44: The Obama Musical,80,66,partly cloudy,1.30,1.000,123444,30978,11008,17437,8865
2025-08-31,Sunday,Bike The Drive; Live On the Lake!; System of A Down & Avenged Sevenfold; Zakir Khan,83,68,partly cloudy,1.10,0.970,89202,24209,8602,13627,6928
2025-09-01,Monday,Live On the Lake!; Labor Day (Federal),79,62,partly cloudy,1.10,1.000,61195,16917,6011,9522,4841
2025-09-02,Tuesday,44: The Obama Musical,73,58,partly cloudy,1.20,1.000,59813,17529,6229,9867,5016
2025-09-03,Wednesday,The Black Keys; Free Admission Evening,76,60,partly cloudy,1.10,1.000,57369,16620,5906,9356,4756
2025-09-04,Thursday,Wait Wait… Don’t Tell Me!,79,62,partly cloudy,1.10,1.000,63202,18707,6647,10530,5353
